CUPS:,ESXXXXXXXXXXXXXX
Fecha inicio:,dd/mm/yyyy
Fecha fin:,dd/mm/yyyy
Fecha y hora de extracción:,dd/mm/yyyy hh:mm:ss
Tarifa:,One luz xxxx

Fecha,Hora,Consumo (Wh),Precio (€/kWh),Coste por hora (€)
2021-06-01,00:00-01:00,288,0,0
2021-06-01,01:00-02:00,224,0,0
2021-06-01,02:00-03:00,176,0,0
2021-06-01,03:00-04:00,123,0,0
2021-06-01,04:00-05:00,516,0,0
2021-06-01,05:00-06:00,91,0,0
2021-06-01,06:00-07:00,209,0,0
2021-06-01,07:00-08:00,550,0,0
2021-06-01,08:00-09:00,691,0,0
2021-06-01,09:00-10:00,912,0,0
2021-06-01,10:00-11:00,1781,0,0
2021-06-01,11:00-12:00,208,0,0
2021-06-01,12:00-13:00,228,0,0
2021-06-01,13:00-14:00,217,0,0
2021-06-01,14:00-15:00,418,0,0
2021-06-01,15:00-16:00,517,0,0
2021-06-01,16:00-17:00,584,0,0
2021-06-01,17:00-18:00,76,0,0
2021-06-01,18:00-19:00,217,0,0
2021-06-01,19:00-20:00,1005,0,0
2021-06-01,20:00-21:00,344,0,0
2021-06-01,21:00-22:00,534,0,0
2021-06-01,22:00-23:00,532,0,0
2021-06-01,23:00-00:00,400,0,0

2021-06-02,00:00-01:00,823,0,0
2021-06-02,01:00-02:00,322,0,0
2021-06-02,02:00-03:00,157,0,0
2021-06-02,03:00-04:00,116,0,0
2021-06-02,04:00-05:00,80,0,0
2021-06-02,05:00-06:00,111,0,0
2021-06-02,06:00-07:00,432,0,0
2021-06-02,07:00-08:00,1730,0,0
2021-06-02,08:00-09:00,456,0,0
2021-06-02,09:00-10:00,291,0,0
2021-06-02,10:00-11:00,738,0,0
2021-06-02,11:00-12:00,1466,0,0
2021-06-02,12:00-13:00,367,0,0
2021-06-02,13:00-14:00,354,0,0
2021-06-02,14:00-15:00,270,0,0
2021-06-02,15:00-16:00,614,0,0
2021-06-02,16:00-17:00,78,0,0
2021-06-02,17:00-18:00,119,0,0
2021-06-02,18:00-19:00,252,0,0
2021-06-02,19:00-20:00,1011,0,0
2021-06-02,20:00-21:00,216,0,0
2021-06-02,21:00-22:00,389,0,0
2021-06-02,22:00-23:00,504,0,0
2021-06-02,23:00-00:00,830,0,0

2021-06-03,00:00-01:00,395,0,0
2021-06-03,01:00-02:00,280,0,0
2021-06-03,02:00-03:00,86,0,0
2021-06-03,03:00-04:00,133,0,0
2021-06-03,04:00-05:00,102,0,0
2021-06-03,05:00-06:00,78,0,0
2021-06-03,06:00-07:00,163,0,0
2021-06-03,07:00-08:00,907,0,0
2021-06-03,08:00-09:00,269,0,0
2021-06-03,09:00-10:00,637,0,0
2021-06-03,10:00-11:00,187,0,0
2021-06-03,11:00-12:00,192,0,0
2021-06-03,12:00-13:00,288,0,0
2021-06-03,13:00-14:00,403,0,0
2021-06-03,14:00-15:00,276,0,0
2021-06-03,15:00-16:00,554,0,0
2021-06-03,16:00-17:00,99,0,0
2021-06-03,17:00-18:00,222,0,0
2021-06-03,18:00-19:00,222,0,0
2021-06-03,19:00-20:00,211,0,0
2021-06-03,20:00-21:00,103,0,0
2021-06-03,21:00-22:00,328,0,0
2021-06-03,22:00-23:00,333,0,0
2021-06-03,23:00-00:00,735,0,0

2021-06-04,00:00-01:00,264,0,0
2021-06-04,01:00-02:00,278,0,0
2021-06-04,02:00-03:00,94,0,0
2021-06-04,03:00-04:00,123,0,0
2021-06-04,04:00-05:00,142,0,0
2021-06-04,05:00-06:00,84,0,0
2021-06-04,06:00-07:00,107,0,0
2021-06-04,07:00-08:00,95,0,0
2021-06-04,08:00-09:00,293,0,0
2021-06-04,09:00-10:00,454,0,0
2021-06-04,10:00-11:00,981,0,0
2021-06-04,11:00-12:00,747,0,0
2021-06-04,12:00-13:00,273,0,0
2021-06-04,13:00-14:00,890,0,0
2021-06-04,14:00-15:00,1412,0,0
2021-06-04,15:00-16:00,376,0,0
2021-06-04,16:00-17:00,333,0,0
2021-06-04,17:00-18:00,340,0,0
2021-06-04,18:00-19:00,238,0,0
2021-06-04,19:00-20:00,228,0,0
2021-06-04,20:00-21:00,785,0,0
2021-06-04,21:00-22:00,355,0,0
2021-06-04,22:00-23:00,346,0,0
2021-06-04,23:00-00:00,180,0,0

2021-06-05,00:00-01:00,169,0,0
2021-06-05,01:00-02:00,167,0,0
2021-06-05,02:00-03:00,223,0,0
2021-06-05,03:00-04:00,559,0,0
2021-06-05,04:00-05:00,76,0,0
2021-06-05,05:00-06:00,77,0,0
2021-06-05,06:00-07:00,96,0,0
2021-06-05,07:00-08:00,179,0,0
2021-06-05,08:00-09:00,142,0,0
2021-06-05,09:00-10:00,161,0,0
2021-06-05,10:00-11:00,738,0,0
2021-06-05,11:00-12:00,259,0,0
2021-06-05,12:00-13:00,1571,0,0
2021-06-05,13:00-14:00,2696,0,0
2021-06-05,14:00-15:00,847,0,0
2021-06-05,15:00-16:00,292,0,0
2021-06-05,16:00-17:00,344,0,0
2021-06-05,17:00-18:00,801,0,0
2021-06-05,18:00-19:00,640,0,0
2021-06-05,19:00-20:00,221,0,0
2021-06-05,20:00-21:00,778,0,0
2021-06-05,21:00-22:00,456,0,0
2021-06-05,22:00-23:00,319,0,0
2021-06-05,23:00-00:00,302,0,0

2021-06-06,00:00-01:00,182,0,0
2021-06-06,01:00-02:00,174,0,0
2021-06-06,02:00-03:00,185,0,0
2021-06-06,03:00-04:00,166,0,0
2021-06-06,04:00-05:00,536,0,0
2021-06-06,05:00-06:00,77,0,0
2021-06-06,06:00-07:00,75,0,0
2021-06-06,07:00-08:00,512,0,0
2021-06-06,08:00-09:00,322,0,0
2021-06-06,09:00-10:00,1326,0,0
2021-06-06,10:00-11:00,1474,0,0
2021-06-06,11:00-12:00,307,0,0
2021-06-06,12:00-13:00,215,0,0
2021-06-06,13:00-14:00,636,0,0
2021-06-06,14:00-15:00,250,0,0
2021-06-06,15:00-16:00,288,0,0
2021-06-06,16:00-17:00,448,0,0
2021-06-06,17:00-18:00,1452,0,0
2021-06-06,18:00-19:00,711,0,0
2021-06-06,19:00-20:00,241,0,0
2021-06-06,20:00-21:00,282,0,0
2021-06-06,21:00-22:00,472,0,0
2021-06-06,22:00-23:00,803,0,0
2021-06-06,23:00-00:00,939,0,0

2021-06-07,00:00-01:00,674,0,0
2021-06-07,01:00-02:00,293,0,0
2021-06-07,02:00-03:00,111,0,0
2021-06-07,03:00-04:00,171,0,0
2021-06-07,04:00-05:00,162,0,0
2021-06-07,05:00-06:00,809,0,0
2021-06-07,06:00-07:00,79,0,0
2021-06-07,07:00-08:00,113,0,0
2021-06-07,08:00-09:00,94,0,0
2021-06-07,09:00-10:00,99,0,0
2021-06-07,10:00-11:00,535,0,0
2021-06-07,11:00-12:00,917,0,0
2021-06-07,12:00-13:00,184,0,0
2021-06-07,13:00-14:00,159,0,0
2021-06-07,14:00-15:00,237,0,0
2021-06-07,15:00-16:00,739,0,0
2021-06-07,16:00-17:00,384,0,0
2021-06-07,17:00-18:00,1722,0,0
2021-06-07,18:00-19:00,220,0,0
2021-06-07,19:00-20:00,217,0,0
2021-06-07,20:00-21:00,152,0,0
2021-06-07,21:00-22:00,801,0,0
2021-06-07,22:00-23:00,351,0,0
2021-06-07,23:00-00:00,178,0,0

2021-06-08,00:00-01:00,133,0,0
2021-06-08,01:00-02:00,148,0,0
2021-06-08,02:00-03:00,124,0,0
2021-06-08,03:00-04:00,549,0,0
2021-06-08,04:00-05:00,130,0,0
2021-06-08,05:00-06:00,78,0,0
2021-06-08,06:00-07:00,550,0,0
2021-06-08,07:00-08:00,312,0,0
2021-06-08,08:00-09:00,922,0,0
2021-06-08,09:00-10:00,255,0,0
2021-06-08,10:00-11:00,281,0,0
2021-06-08,11:00-12:00,339,0,0
2021-06-08,12:00-13:00,336,0,0
2021-06-08,13:00-14:00,221,0,0
2021-06-08,14:00-15:00,319,0,0
2021-06-08,15:00-16:00,279,0,0
2021-06-08,16:00-17:00,179,0,0
2021-06-08,17:00-18:00,608,0,0
2021-06-08,18:00-19:00,252,0,0
2021-06-08,19:00-20:00,294,0,0
2021-06-08,20:00-21:00,302,0,0
2021-06-08,21:00-22:00,318,0,0
2021-06-08,22:00-23:00,305,0,0
2021-06-08,23:00-00:00,113,0,0

2021-06-09,00:00-01:00,157,0,0
2021-06-09,01:00-02:00,379,0,0
2021-06-09,02:00-03:00,179,0,0
2021-06-09,03:00-04:00,228,0,0
2021-06-09,04:00-05:00,388,0,0
2021-06-09,05:00-06:00,77,0,0
2021-06-09,06:00-07:00,374,0,0
2021-06-09,07:00-08:00,509,0,0
2021-06-09,08:00-09:00,1299,0,0
2021-06-09,09:00-10:00,477,0,0
2021-06-09,10:00-11:00,265,0,0
2021-06-09,11:00-12:00,1416,0,0
2021-06-09,12:00-13:00,705,0,0
2021-06-09,13:00-14:00,381,0,0
2021-06-09,14:00-15:00,337,0,0
2021-06-09,15:00-16:00,342,0,0
2021-06-09,16:00-17:00,360,0,0
2021-06-09,17:00-18:00,343,0,0
2021-06-09,18:00-19:00,615,0,0
2021-06-09,19:00-20:00,1338,0,0
2021-06-09,20:00-21:00,229,0,0
2021-06-09,21:00-22:00,422,0,0
2021-06-09,22:00-23:00,305,0,0
2021-06-09,23:00-00:00,257,0,0

